*************************************************************************************
Model = Ru_v4_base
Report produced by REPORT_HF_AGAINST_TIME procedure at 11:39 Mon 13 Apr 2020
HF name = SM_training.SDF
HF calculated on 11:38 Mon 13 Apr 2020, wavelength is SOLAR
Geometry is Whole Model
Calculation method used was RAYTRACING, DIRECT on Faces
Reported values are heat flux (W/m2)
*************************************************************************************
Face 1, [Node 1]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 3, [Node 2]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 4, [Node 3]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 5, [Node 4]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 6, [Node 5]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 7, [Node 6]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 8, [Node 6]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 9, [Node 7]

  Angle         Time      IS
   0.00         0.00    0.00
   5.00    440047.68    0.00
  10.00    880095.37    0.00
  15.00   1320143.05    0.00
  20.00   1760190.74    0.00
  25.00   2200238.42    0.00
  30.00   2640286.10    0.00
  35.00   3080333.79    0.00
  40.00   3520381.47    0.00
  45.00   3960429.15    0.00
  50.00   4400476.84    0.00
  55.00   4840524.52    0.00
  60.00   5280572.21    0.00
  65.00   5720619.89    0.00
  70.00   6160667.57    0.00
  75.00   6600715.26    0.00
  80.00   7040762.94    2.21
  85.00   7480810.63   18.59
  90.00   7920858.31    0.00
                            
Average                 1.16


Face 10, [Node 7]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 11, [Node 8]

  Angle         Time        IS
   0.00         0.00      0.00
   5.00    440047.68      0.00
  10.00    880095.37     62.20
  15.00   1320143.05    185.53
  20.00   1760190.74    302.35
  25.00   2200238.42    418.88
  30.00   2640286.10    532.78
  35.00   3080333.79    644.15
  40.00   3520381.47    747.79
  45.00   3960429.15    849.11
  50.00   4400476.84    944.45
  55.00   4840524.52   1032.86
  60.00   5280572.21   1109.65
  65.00   5720619.89   1179.54
  70.00   6160667.57   1239.51
  75.00   6600715.26   1291.23
  80.00   7040762.94   1332.19
  85.00   7480810.63   1347.59
  90.00   7920858.31   1352.74
                              
Average                 772.01


Face 12, [Node 8]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 13, [Node 9]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 14, [Node 9]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 15, [Node 10]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 16, [Node 10]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 17, [Node 11]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 18, [Node 11]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 19, [Node 12]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
